                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 2.3805,                 2.8965,                 2.6437,                 0.1288,                0.13889,                0.14766,                0.04379,                 2.7325,                 3.2972,                 2.8308,              0.0015696,              0.0015696,              0.0015696
                     62,                 2.3434,                 2.9451,                  2.587,                0.71921,                0.16667,                0.17266,                0.06579,                 2.5118,                 3.2877,                 2.4968,               0.001568,               0.001568,               0.001568
                     63,                 2.4577,                 2.9484,                 2.6346,                0.37825,                0.19329,                0.16441,                0.07432,                 2.4262,                  2.931,                 2.3984,              0.0015663,              0.0015663,              0.0015663
                     64,                 2.4013,                 3.0178,                 2.6342,                0.15145,                0.16667,                 0.1359,                0.04451,                 2.6783,                 3.5829,                  2.716,              0.0015647,              0.0015647,              0.0015647
                     65,                 2.4376,                 2.9101,                 2.7158,                0.69262,                0.05556,                0.10088,                0.03453,                 2.6789,                 3.4293,                 2.7493,               0.001563,               0.001563,               0.001563
                     66,                  2.521,                 2.8353,                 2.7131,                0.22341,                0.19854,                0.17257,                0.05828,                  2.575,                   3.15,                 2.7571,              0.0015614,              0.0015614,              0.0015614
                     67,                 2.4693,                  3.014,                  2.677,                0.76844,                0.11111,                0.16682,                0.05805,                 2.4019,                 3.1655,                 2.5953,              0.0015597,              0.0015597,              0.0015597
                     68,                 2.3938,                 2.7892,                 2.6178,                0.65144,                0.11111,                0.09644,                0.03484,                 2.5707,                  3.322,                 2.5433,              0.0015581,              0.0015581,              0.0015581
                     69,                 2.3983,                 2.8656,                 2.6308,                0.41569,                0.13726,                0.19884,                0.06604,                 2.5842,                 3.1672,                   2.71,              0.0015564,              0.0015564,              0.0015564
                     70,                 2.3428,                 2.7494,                 2.5086,                0.68229,                0.19444,                0.19372,                0.08026,                 2.5911,                 3.0484,                 2.5137,              0.0015548,              0.0015548,              0.0015548
                     71,                 2.3342,                 2.7331,                 2.4889,                0.73629,                0.17464,                0.22481,                0.07827,                 2.6105,                 2.8767,                 2.6383,              0.0015531,              0.0015531,              0.0015531
                     72,                 2.3062,                 2.7525,                 2.5646,                 0.7708,                0.13889,                0.23126,                 0.0826,                 2.6027,                  2.749,                 2.6548,              0.0015515,              0.0015515,              0.0015515
                     73,                 2.3188,                  2.686,                 2.5053,                0.62446,                0.16667,                0.17891,                 0.0771,                  2.387,                 4.1058,                 2.4467,              0.0015498,              0.0015498,              0.0015498
                     74,                 2.4297,                 2.8321,                 2.6296,                0.91614,                0.13889,                0.15487,                0.04475,                 2.7341,                 3.2655,                 2.7677,              0.0015482,              0.0015482,              0.0015482
                     75,                 2.4321,                 2.7161,                 2.6078,                0.71879,                0.13889,                0.15338,                0.05588,                 2.6206,                 3.1616,                 2.4876,              0.0015465,              0.0015465,              0.0015465
                     76,                 2.2598,                 2.8524,                 2.5184,                0.61565,                0.20916,                0.15545,                0.05305,                 2.5942,                  3.133,                 2.5046,              0.0015449,              0.0015449,              0.0015449
                     77,                 2.2155,                 2.7296,                 2.4474,                0.72815,                0.19444,                0.26616,                0.09192,                 2.4766,                 2.7667,                 2.5033,              0.0015432,              0.0015432,              0.0015432
                     78,                 2.3656,                 2.7457,                 2.6117,                      1,                0.10731,                0.19999,                0.06984,                 2.5285,                 3.2755,                 2.6263,              0.0015416,              0.0015416,              0.0015416
                     79,                 2.3366,                   2.66,                 2.5221,                0.79735,                0.16667,                0.20785,                0.08274,                 2.4602,                  3.115,                 2.6239,              0.0015399,              0.0015399,              0.0015399
                     80,                 2.3296,                 2.8477,                 2.5303,                0.71788,                0.05556,                0.10054,                0.03958,                 2.5782,                 3.4883,                 2.7183,              0.0015383,              0.0015383,              0.0015383
                     81,                 2.2952,                 2.7848,                 2.4727,                0.73806,                0.22222,                0.22213,                0.07066,                 2.5899,                 2.6577,                  2.542,              0.0015366,              0.0015366,              0.0015366
                     82,                 2.2133,                 2.6567,                 2.4407,                0.25673,                0.13889,                0.20803,                 0.0684,                 2.5863,                 2.7637,                 2.5555,               0.001535,               0.001535,               0.001535
                     83,                 2.3407,                 2.7054,                 2.5088,                0.24099,                0.19444,                0.18699,                0.07742,                 2.5407,                 2.9026,                 2.4951,              0.0015333,              0.0015333,              0.0015333
